confidence	sample	category	iteration	decoder	mean_confidence	mean_pf_confidence	noise	low_confidence
95	SRR6750041	small	first	1	0.93892357346565	0.999759008343409	21501404	3414894
95	SRR6750041	small	first	2	0.948270415991834	0.999869324114368	11612351	3404098
95	SRR6750041	small	first	3	0.946635841299209	0.999880579208595	5810502	3822764
95	SRR6750041	small	second	1	0.935563068971661	0.999198335272131	21577451	3569219
95	SRR6750041	small	second	2	0.950680371443923	0.999673654113333	11875477	3213423
95	SRR6750041	small	second	3	0.948442318970759	0.999837247581613	5898336	3684301
99	SRR6750041	small	first	1	0.93606847412732	0.999871067010901	21501404	3581049
99	SRR6750041	small	first	2	0.946685398176999	0.999899160995611	11612351	3512475
99	SRR6750041	small	first	3	0.945349845164672	0.999900567507301	5810502	3917310
99	SRR6750041	small	second	1	0.925007189840657	0.99940591475794	21578104	4172012
99	SRR6750041	small	second	2	0.942485099102584	0.999797843800771	11875675	3767877
99	SRR6750041	small	second	3	0.945224879729584	0.999890664277848	5898361	3920599
999	SRR6750041	small	first	1	0.917404543999636	0.999920961701786	21501404	4631169
999	SRR6750041	small	first	2	0.935990543095206	0.999921630336325	11612351	4220340
999	SRR6750041	small	first	3	0.936523432146112	0.999922045927252	5810502	4553044
999	SRR6750041	small	second	1	0.833735394020808	0.999651325366009	21581361	9301142
999	SRR6750041	small	second	2	0.907947989043264	0.9998638820838	11876086	6043182
999	SRR6750041	small	second	3	0.933218438301631	0.999926027098013	5898457	4783585
95	SRR6750042	main	first	1	0.944975585728475	0.999762562139748	49493639	6901139
95	SRR6750042	main	first	2	0.952545011055709	0.999869829522374	28126941	6966595
95	SRR6750042	main	first	3	0.948974415973479	0.999880600790475	13737418	8229236
95	SRR6750042	main	second	1	0.941146191651071	0.999066926807809	49500143	7300580
95	SRR6750042	main	second	2	0.951095557104032	0.999609972576964	28127441	7145421
95	SRR6750042	main	second	3	0.948490539882325	0.999817347999392	13737646	8298257
99	SRR6750042	main	first	1	0.942227128685475	0.99987146379248	49493639	7260270
99	SRR6750042	main	first	2	0.950971406836917	0.999898127238399	28126941	7206692
99	SRR6750042	main	first	3	0.947742417200007	0.999900688703134	13737418	8433352
99	SRR6750042	main	second	1	0.92688687621749	0.999343499196526	49500152	9130218
99	SRR6750042	main	second	2	0.948311444179786	0.999652115499017	28127441	7562434
99	SRR6750042	main	second	3	0.946996944038429	0.999844183711056	13737646	8544182
999	SRR6750042	main	first	1	0.923275363684633	0.999920970389827	49493639	9652991
999	SRR6750042	main	first	2	0.939887162783804	0.999921657495254	28126941	8843754
999	SRR6750042	main	first	3	0.938643769875021	0.9999220538249	13737418	9908804
999	SRR6750042	main	second	1	0.838243431840527	0.999463275830148	49500199	20312779
999	SRR6750042	main	second	2	0.938540575970789	0.999697840394126	28127448	9011020
999	SRR6750042	main	second	3	0.938588511905803	0.999863114318637	13737647	9908748
95	SRR6750043	main	first	1	0.938210565356272	0.999751821079343	52038815	7193540
95	SRR6750043	main	first	2	0.945802905322831	0.999867291929402	29529403	7530684
95	SRR6750043	main	first	3	0.943800219407576	0.999879104440691	14730282	8644039
95	SRR6750043	main	second	1	0.933735090631156	0.998947032260674	52045916	7628283
95	SRR6750043	main	second	2	0.94419347044214	0.999562921626615	29530341	7716439
95	SRR6750043	main	second	3	0.943264788588293	0.999791456708803	14730937	8714142
99	SRR6750043	main	first	1	0.935250188886715	0.999869645388661	52038815	7552460
99	SRR6750043	main	first	2	0.944124377898772	0.999897418905056	29529403	7772979
99	SRR6750043	main	first	3	0.9425419786142	0.999899878353016	14730282	8842833
99	SRR6750043	main	second	1	0.91813174011827	0.999263293520764	52045919	9487504
99	SRR6750043	main	second	2	0.940345491772517	0.999617718641481	29530341	8261534
99	SRR6750043	main	second	3	0.941672788383178	0.999823473364444	14730937	8964446
999	SRR6750043	main	first	1	0.915842514445859	0.999920937342219	52038815	9826241
999	SRR6750043	main	first	2	0.932876011680995	0.99992163731279	29529403	9344876
999	SRR6750043	main	first	3	0.933284125185979	0.999922036745367	14730282	10274299
999	SRR6750043	main	second	1	0.782891757389808	0.99942257611047	52045944	25317020
999	SRR6750043	main	second	2	0.931572121215275	0.999661772132785	29530341	9492589
999	SRR6750043	main	second	3	0.933209919049623	0.999844667777403	14730934	10274488
95	SRR6750044	main	first	1	0.937398565271305	0.99974415898149	58599995	7612455
95	SRR6750044	main	first	2	0.945389973389625	0.999865307179377	32900151	8044674
95	SRR6750044	main	first	3	0.944406648446171	0.999876846726868	15491660	9160658
95	SRR6750044	main	second	1	0.932642512504633	0.99886094446217	58607920	8091956
95	SRR6750044	main	second	2	0.943598690801801	0.999538826326337	32900957	8265802
95	SRR6750044	main	second	3	0.943853722326201	0.999792559964107	15491947	9239222
99	SRR6750044	main	first	1	0.934299320825974	0.999868673807203	58599995	8005082
99	SRR6750044	main	first	2	0.943595273997288	0.999896521981004	32900151	8319490
99	SRR6750044	main	first	3	0.943083289458933	0.999899070620431	15491660	9384699
99	SRR6750044	main	second	1	0.916477664090816	0.999208720881628	58607991	10106290
99	SRR6750044	main	second	2	0.938751713013008	0.999603413121906	32900957	8993264
99	SRR6750044	main	second	3	0.942201000865091	0.999826008529632	15491949	9517598
999	SRR6750044	main	first	1	0.914517467502734	0.999920914357759	58599995	10425997
999	SRR6750044	main	first	2	0.931929252294533	0.999921615724452	32900151	10047974
999	SRR6750044	main	first	3	0.93344911620254	0.999922024231314	15491660	10980700
999	SRR6750044	main	second	1	0.725070614364229	0.999401404183301	58608139	33505297
999	SRR6750044	main	second	2	0.930322398008008	0.999643523083488	32900952	10246904
999	SRR6750044	main	second	3	0.933375275622706	0.999846999162929	15491955	10981267
95	SRR6750045	main	first	1	0.943347032335426	0.999756108269494	44214808	6689788
95	SRR6750045	main	first	2	0.951296124489883	0.999865712897609	25033340	6686325
95	SRR6750045	main	first	3	0.945050212247847	0.999877224367057	12713913	8225827
95	SRR6750045	main	second	1	0.939693677847032	0.999084767903377	44222906	7047689
95	SRR6750045	main	second	2	0.949827608122196	0.999622344979879	25033851	6858303
95	SRR6750045	main	second	3	0.944513642350704	0.999813223202567	12714209	8297870
99	SRR6750045	main	first	1	0.940494030141727	0.999868832182584	44214808	7040712
99	SRR6750045	main	first	2	0.949666462623513	0.999896733768411	25033340	6918826
99	SRR6750045	main	first	3	0.943700629517703	0.99989923062686	12713913	8433415
99	SRR6750045	main	second	1	0.925283876804909	0.999365623876088	44223128	8788480
99	SRR6750045	main	second	2	0.947202850915259	0.999663447873559	25033851	7226040
99	SRR6750045	main	second	3	0.942875229041464	0.999842221787141	12714211	8548213
999	SRR6750045	main	first	1	0.920581019863026	0.999920925744074	44214808	9407700
999	SRR6750045	main	first	2	0.937931921982613	0.999921634196477	25033340	8539534
999	SRR6750045	main	first	3	0.933990635076066	0.99992203813827	12713913	9894824
999	SRR6750045	main	second	1	0.842112412738695	0.999485257234	44223171	18667244
999	SRR6750045	main	second	2	0.936651391385941	0.999711386522974	25033852	8688689
999	SRR6750045	main	second	3	0.933935959750029	0.999862575910609	12714211	9894649
95	SRR6750046	main	first	1	0.945353414905105	0.999759674134849	45557194	6732138
95	SRR6750046	main	first	2	0.95386543799517	0.999867388760194	25235459	6621709
95	SRR6750046	main	first	3	0.947434756670037	0.999878878723028	12541174	8217642
95	SRR6750046	main	second	1	0.941588022626445	0.999115027801051	45565697	7122397
95	SRR6750046	main	second	2	0.952468211443821	0.999638777743197	25236031	6793218
95	SRR6750046	main	second	3	0.946982952285773	0.999824770447459	12541382	8280840
99	SRR6750046	main	first	1	0.94254947600741	0.999870106735846	45557194	7091974
99	SRR6750046	main	first	2	0.952296628256745	0.999897141855856	25235459	6855711
99	SRR6750046	main	first	3	0.946166344188475	0.999899794887836	12541174	8421301
99	SRR6750046	main	second	1	0.927928220819074	0.999373044997011	45565939	8843256
99	SRR6750046	main	second	2	0.950156317490579	0.99967619677681	25236031	7132038
99	SRR6750046	main	second	3	0.94544144492798	0.999851328077575	12541382	8526824
999	SRR6750046	main	first	1	0.923121813051008	0.999920898471703	45557194	9501456
999	SRR6750046	main	first	2	0.940864318334091	0.999921603252155	25235459	8506690
999	SRR6750046	main	first	3	0.936796974559069	0.999922021423147	12541174	9893998
999	SRR6750046	main	second	1	0.835646851506472	0.999506974856703	45566101	20279439
999	SRR6750046	main	second	2	0.939610926929336	0.999722817111431	25236029	8660170
999	SRR6750046	main	second	3	0.936748993694934	0.999870823832757	12541381	9893942
95	SRR6750047	main	first	1	0.944270831702314	0.999759962739622	39899720	6642757
95	SRR6750047	main	first	2	0.952765495793636	0.999865693847768	22212690	6466887
95	SRR6750047	main	first	3	0.94506741784336	0.999878178143048	11090632	8137702
95	SRR6750047	main	second	1	0.940816163191028	0.999180364567884	39906834	6990577
95	SRR6750047	main	second	2	0.951442222719536	0.999663370333399	22213393	6623612
95	SRR6750047	main	second	3	0.944652472164368	0.99983413518746	11090889	8193558
99	SRR6750047	main	first	1	0.941474381588226	0.999869429622606	39899720	6989867
99	SRR6750047	main	first	2	0.951227025025388	0.99989689832759	22212690	6685674
99	SRR6750047	main	first	3	0.943811269871137	0.999899255039143	11090632	8328708
99	SRR6750047	main	second	1	0.927852396797717	0.999419350095746	39906861	8569886
99	SRR6750047	main	second	2	0.949401943596099	0.999697333267003	22213393	6908839
99	SRR6750047	main	second	3	0.943083900907624	0.999860226865723	11090889	8430516
999	SRR6750047	main	first	1	0.921753110589172	0.999920930294879	39899720	9356179
999	SRR6750047	main	first	2	0.939757487362787	0.999921633526527	22212690	8265445
999	SRR6750047	main	first	3	0.934424970925471	0.999922040813056	11090632	9726603
999	SRR6750047	main	second	1	0.865552750268914	0.999532278248444	39906916	16041748
999	SRR6750047	main	second	2	0.938493786635929	0.999743869774954	22213390	8416006
999	SRR6750047	main	second	3	0.934385604734457	0.999879051886806	11090888	9726445
95	SRR6750048	main	first	1	0.942438730049138	0.999756357478342	49494293	6899323
95	SRR6750048	main	first	2	0.950666181279304	0.999867959125388	27357319	7005895
95	SRR6750048	main	first	3	0.947896358708332	0.999879437818208	12890128	8156863
95	SRR6750048	main	second	1	0.938351706357038	0.999021452078186	49501598	7307746
95	SRR6750048	main	second	2	0.949170147413162	0.999604668372407	27357909	7185080
95	SRR6750048	main	second	3	0.947409826823784	0.999821649521339	12890388	8225163
99	SRR6750048	main	first	1	0.939569000241839	0.999870003861914	49494293	7257607
99	SRR6750048	main	first	2	0.949040463876557	0.999897566174309	27357319	7245826
99	SRR6750048	main	first	3	0.946653552946866	0.999900149914417	12890128	8356736
99	SRR6750048	main	second	1	0.923535318039492	0.999312925057709	49501629	9124842
99	SRR6750048	main	second	2	0.946298398249252	0.999649377309285	27357909	7601357
99	SRR6750048	main	second	3	0.945880499584653	0.999848809678355	12890387	8469431
999	SRR6750048	main	first	1	0.920170404776023	0.999920938758719	49494293	9597992
999	SRR6750048	main	first	2	0.937776153039662	0.999921648667714	27357319	8855024
999	SRR6750048	main	first	3	0.9374422625209	0.999922044351627	12890128	9806625
999	SRR6750048	main	second	1	0.81738985762476	0.999450476496055	49501634	21920007
999	SRR6750048	main	second	2	0.936561117296069	0.999694933202625	27357902	8997734
999	SRR6750048	main	second	3	0.937391407247595	0.999867182805937	12890390	9806491
95	SRR6750049	main	first	1	0.946939601299007	0.999759950394261	46456015	5906487
95	SRR6750049	main	first	2	0.954219915000724	0.999871657018543	27164613	5980220
95	SRR6750049	main	first	3	0.951689764969202	0.999881833506634	13267381	6985539
95	SRR6750049	main	second	1	0.942822795516905	0.999017171070516	46462683	6288075
95	SRR6750049	main	second	2	0.95271169072279	0.999579705115801	27165285	6143021
95	SRR6750049	main	second	3	0.95120103915489	0.99980575439942	13267552	7046187
99	SRR6750049	main	first	1	0.944164744279242	0.999870038138119	46456015	6228402
99	SRR6750049	main	first	2	0.952651437739929	0.999898198649917	27164613	6193230
99	SRR6750049	main	first	3	0.950499375080764	0.999901131378459	13267381	7162356
99	SRR6750049	main	second	1	0.927752702669587	0.999310960216197	46462706	8004917
99	SRR6750049	main	second	2	0.949002350528894	0.999630612558522	27165286	6636994
99	SRR6750049	main	second	3	0.949718168443683	0.999833900692537	13267552	7265286
999	SRR6750049	main	first	1	0.924553969506779	0.999920875628495	46456015	8426336
999	SRR6750049	main	first	2	0.941596773378343	0.999921609251797	27164613	7646199
999	SRR6750049	main	first	3	0.941555216461819	0.999922033058015	13267381	8462895
999	SRR6750049	main	second	1	0.819143980786258	0.999447906657139	46462824	20167046
999	SRR6750049	main	second	2	0.939872524624284	0.999673170355387	27165285	7841456
999	SRR6750049	main	second	3	0.941489571771146	0.999853238355017	13267552	8462963
95	SRR6750050	main	first	1	0.927395942268982	0.999723965399417	72347765	8790381
95	SRR6750050	main	first	2	0.935019756112739	0.999861729598333	41604451	9865387
95	SRR6750050	main	first	3	0.940810921283319	0.999873920689377	19802575	10277470
95	SRR6750050	main	second	1	0.921536849285668	0.998580582510468	72359466	9373323
95	SRR6750050	main	second	2	0.9327460833583	0.999426176454827	41605288	10151945
95	SRR6750050	main	second	3	0.940136553364851	0.999743042156484	19803350	10373614
99	SRR6750050	main	first	1	0.923948440241688	0.999865097040409	72347765	9225223
99	SRR6750050	main	first	2	0.932968986506192	0.999894812586059	41604451	10189052
99	SRR6750050	main	first	3	0.939379526087225	0.999897413222562	19802575	10532894
99	SRR6750050	main	second	1	0.902255035781955	0.999039682433912	72359643	11769621
99	SRR6750050	main	second	2	0.923680876150324	0.999535676347833	41605288	11552580
99	SRR6750050	main	second	3	0.938288643314606	0.999787627690447	19803350	10702375
999	SRR6750050	main	first	1	0.903268363453797	0.999920786558975	72347765	11744333
999	SRR6750050	main	first	2	0.92072428200131	0.999921524958632	41604451	12058294
999	SRR6750050	main	first	3	0.92909867459157	0.999921953525385	19802575	12327491
999	SRR6750050	main	second	1	0.581369770943105	0.999335205062221	72359726	50812157
999	SRR6750050	main	second	2	0.914294574609011	0.999559972955335	41605275	12986324
999	SRR6750050	main	second	3	0.928986365729072	0.999812749514295	19803350	12329163
95	SRR6750051	main	first	1	0.934878690259597	0.999751666140233	58771089	7494713
95	SRR6750051	main	first	2	0.941417622879941	0.999868872702004	33345873	8232570
95	SRR6750051	main	first	3	0.942536388536372	0.999880243443695	16592155	9040163
95	SRR6750051	main	second	1	0.930053530197798	0.998816984368018	58778763	7951082
95	SRR6750051	main	second	2	0.93966738706217	0.999514929783644	33346465	8433819
95	SRR6750051	main	second	3	0.941966173875162	0.999771547170071	16592459	9114186
99	SRR6750051	main	first	1	0.931904266058439	0.999870937113684	58771089	7851188
99	SRR6750051	main	first	2	0.939683762507579	0.999898127675713	33345873	8485644
99	SRR6750051	main	first	3	0.941278916956031	0.999900428221784	16592155	9243390
99	SRR6750051	main	second	1	0.913888489576284	0.999170196876844	58778786	9857591
99	SRR6750051	main	second	2	0.93427514081896	0.999584551352992	33346465	9205552
99	SRR6750051	main	second	3	0.94034634534135	0.999806965091365	16592459	9375002
999	SRR6750051	main	first	1	0.913081996360947	0.999920988030403	58771089	10030727
999	SRR6750051	main	first	2	0.928704431640194	0.99992167306242	33345873	10037104
999	SRR6750051	main	first	3	0.932217757846565	0.999922059053387	16592155	10676380
999	SRR6750051	main	second	1	0.683060304169262	0.999390360291602	58778825	36556073
999	SRR6750051	main	second	2	0.927269337910244	0.999620227149754	33346465	10199690
999	SRR6750051	main	second	3	0.932123645488118	0.999828381102418	16592474	10677329
95	SRR6750052	main	first	1	0.941942695652265	0.999757157000385	39491675	6940550
95	SRR6750052	main	first	2	0.949923131742682	0.99986364523316	21737174	6877086
95	SRR6750052	main	first	3	0.94265382130226	0.999876783954716	10917741	8501408
95	SRR6750052	main	second	1	0.938519793182788	0.999183408326407	39498592	7286349
95	SRR6750052	main	second	2	0.948567301661334	0.999669112039848	21737839	7039843
95	SRR6750052	main	second	3	0.94222501692482	0.999834676001687	10918003	8559691
99	SRR6750052	main	first	1	0.939086276586017	0.999868771664152	39491675	7296044
99	SRR6750052	main	first	2	0.948312262926658	0.999896536350646	21737174	7106783
99	SRR6750052	main	first	3	0.941312904947138	0.999898968936455	10917741	8705498
99	SRR6750052	main	second	1	0.925047413332381	0.999428092126641	39498603	8931727
99	SRR6750052	main	second	2	0.946446585879513	0.999703605082104	21737843	7337105
99	SRR6750052	main	second	3	0.940610938007366	0.999861449302296	10918003	8803778
999	SRR6750052	main	first	1	0.919223001824825	0.999920962882635	39491675	9686097
999	SRR6750052	main	first	2	0.936594248459882	0.999921657247455	21737174	8725541
999	SRR6750052	main	first	3	0.93172306233847	0.999922056714127	10917741	10134696
999	SRR6750052	main	second	1	0.865457017726638	0.999533081507223	39498633	16098330
999	SRR6750052	main	second	2	0.935573775932051	0.999749420739715	21737840	8843778
999	SRR6750052	main	second	3	0.931685252404565	0.999880609550465	10917999	10134530
95	SRR6750053	main	first	1	0.951052514356427	0.999767423925409	55312361	8429605
95	SRR6750053	main	first	2	0.959084179818839	0.999869248954955	31489228	8022371
95	SRR6750053	main	first	3	0.95142645260486	0.999880795585228	16164120	10277132
95	SRR6750053	main	second	1	0.947881276322588	0.999215556557983	55325473	8887092
95	SRR6750053	main	second	2	0.957829272996254	0.999671863695518	31490009	8234310
95	SRR6750053	main	second	3	0.951013866164586	0.999835540243624	16165008	10356123
99	SRR6750053	main	first	1	0.948423830369913	0.999869959294578	55312361	8901301
99	SRR6750053	main	first	2	0.95761579160426	0.999897526642449	31489228	8321605
99	SRR6750053	main	first	3	0.950201521822543	0.999900663528756	16164120	10543365
99	SRR6750053	main	second	1	0.935254945908796	0.999442939971433	55325492	11109823
99	SRR6750053	main	second	2	0.956002556228561	0.999702884066979	31490010	8600300
99	SRR6750053	main	second	3	0.949539163491445	0.999859534169962	16165008	10674553
999	SRR6750053	main	first	1	0.928693225090103	0.999920871781838	55312361	12323307
999	SRR6750053	main	first	2	0.946241177025642	0.999921605169635	31489228	10566318
999	SRR6750053	main	first	3	0.941037130638323	0.999922030449748	16164120	12493232
999	SRR6750053	main	second	1	0.876809514263168	0.999553205287005	55325524	21242446
999	SRR6750053	main	second	2	0.945203732149403	0.999748773579067	31490012	10738228
999	SRR6750053	main	second	3	0.940997671102262	0.999877998237889	16165008	12492715
95	SRR6750054	main	first	1	0.941163468278208	0.999757449533457	52792425	7799545
95	SRR6750054	main	first	2	0.950151697615505	0.999868116060712	29389325	7775351
95	SRR6750054	main	first	3	0.944336211983116	0.999879651601449	14575105	9512565
95	SRR6750054	main	second	1	0.937252988133193	0.999049706782479	52799897	8231232
95	SRR6750054	main	second	2	0.948696282143735	0.999614123958629	29389980	7966988
95	SRR6750054	main	second	3	0.943828624860813	0.999814805895065	14575434	9589615
99	SRR6750054	main	first	1	0.938299505273134	0.999870902795968	52792425	8194944
99	SRR6750054	main	first	2	0.948557507180263	0.999897960794317	29389325	8033669
99	SRR6750054	main	first	3	0.943078732135397	0.999900285173208	14575105	9733323
99	SRR6750054	main	second	1	0.922791993758823	0.999333801038474	52799907	10192357
99	SRR6750054	main	second	2	0.945863239491984	0.999657017869928	29389980	8417813
99	SRR6750054	main	second	3	0.94227468625083	0.999842863481516	14575434	9860651
999	SRR6750054	main	first	1	0.919272409415657	0.999920976719658	52792425	10733513
999	SRR6750054	main	first	2	0.937408116912182	0.999921666881545	29389325	9783029
999	SRR6750054	main	first	3	0.933901685457601	0.999922059073957	14575105	11309936
999	SRR6750054	main	second	1	0.83404793880409	0.999457024349637	52800047	22023243
999	SRR6750054	main	second	2	0.936169534125161	0.999701904928378	29389982	9944436
999	SRR6750054	main	second	3	0.933845312263784	0.99986195536566	14575436	11309902
95	SRR6750055	main	first	1	0.940849811721035	0.999753067686468	52068649	6939685
95	SRR6750055	main	first	2	0.948825546822955	0.999867977263976	29681336	7150168
95	SRR6750055	main	first	3	0.946880223039414	0.999879533235529	14775312	8217260
95	SRR6750055	main	second	1	0.936491440689435	0.998951884911744	52077492	7364124
95	SRR6750055	main	second	2	0.947208267647489	0.999564639224304	29682187	7338211
95	SRR6750055	main	second	3	0.946335824255476	0.999793461399291	14775537	8289411
99	SRR6750055	main	first	1	0.937927897250447	0.999869518777118	52068649	7296800
99	SRR6750055	main	first	2	0.94713597132695	0.999897348938116	29681336	7395520
99	SRR6750055	main	first	3	0.945606506228044	0.999900134693441	14775312	8419707
99	SRR6750055	main	second	1	0.920472229193546	0.999271711745349	52077542	9287529
99	SRR6750055	main	second	2	0.943281418103983	0.999619500486002	29682187	7897521
99	SRR6750055	main	second	3	0.944758171688203	0.99982493676898	14775537	8538927
999	SRR6750055	main	first	1	0.91833963233883	0.999920900999081	52068649	9609881
999	SRR6750055	main	first	2	0.935652555305042	0.999921616464757	29681336	9009491
999	SRR6750055	main	first	3	0.936231193073753	0.999922029205055	14775312	9877875
999	SRR6750055	main	second	1	0.796154388778292	0.999421073085276	52077668	23953978
999	SRR6750055	main	second	2	0.934134017492911	0.999662958824054	29682187	9188263
999	SRR6750055	main	second	3	0.93615781707966	0.999845824134893	14775537	9878107
95	SRR6750056	fresh	first	1	0.94262126007813	0.999769094802763	60977964	9014616
95	SRR6750056	fresh	first	2	0.950557324073652	0.999869620352121	33921912	9106156
95	SRR6750056	fresh	first	3	0.944249523609603	0.999880399233102	16703582	11234431
95	SRR6750056	fresh	second	1	0.939261832555238	0.999066583998634	60979784	9440248
95	SRR6750056	fresh	second	2	0.949168920914751	0.999627241426829	33929009	9321579
95	SRR6750056	fresh	second	3	0.943793569249863	0.999821870841697	16707174	11315791
99	SRR6750056	fresh	first	1	0.939981277241082	0.999873649243731	60977964	9446557
99	SRR6750056	fresh	first	2	0.949029515712252	0.999898473731561	33921912	9398537
99	SRR6750056	fresh	first	3	0.943040306213005	0.999900424380484	16703582	11484647
99	SRR6750056	fresh	second	1	0.923654166204414	0.999363049648905	60979785	11947188
99	SRR6750056	fresh	second	2	0.946133283491438	0.999672674492037	33929009	9891966
99	SRR6750056	fresh	second	3	0.942269411925494	0.999849320773506	16707021	11629131
999	SRR6750056	fresh	first	1	0.92170615893872	0.999921019083932	60977964	12335897
999	SRR6750056	fresh	first	2	0.938272246568778	0.999921697725856	33921912	11391328
999	SRR6750056	fresh	first	3	0.933942397450204	0.99992208970361	16703582	13327591
999	SRR6750056	fresh	second	1	0.826596663610043	0.999445967034843	60979790	27274101
999	SRR6750056	fresh	second	2	0.936736474374633	0.999713338000912	33929015	11638241
999	SRR6750056	fresh	second	3	0.933899896277802	0.999867281398724	16707021	13325535
95	SRR6750057	fresh	first	1	0.940490680016073	0.999763609558625	57421957	9377755
95	SRR6750057	fresh	first	2	0.947559544591276	0.999865956907293	30509437	9676897
95	SRR6750057	fresh	first	3	0.939567910307666	0.999878553446481	14956331	12099271
95	SRR6750057	fresh	second	1	0.937006550855429	0.99912266299043	57429296	9833432
95	SRR6750057	fresh	second	2	0.946667780597343	0.99966400938138	30610029	9802024
95	SRR6750057	fresh	second	3	0.939850592596502	0.999825336374645	14981830	12029562
99	SRR6750057	fresh	first	1	0.937760355275585	0.999872271591069	57421957	9825852
99	SRR6750057	fresh	first	2	0.946015827356797	0.999897471080138	30509437	9972827
99	SRR6750057	fresh	first	3	0.938333952439352	0.999899110758526	14956331	12352720
99	SRR6750057	fresh	second	1	0.924597420002802	0.999373195701956	57429312	11834580
99	SRR6750057	fresh	second	2	0.943300180756773	0.999720506419922	30610035	10437752
99	SRR6750057	fresh	second	3	0.937720493655073	0.999864986670706	14981830	12466939
999	SRR6750057	fresh	first	1	0.918979717127773	0.999920965286495	57421957	12803952
999	SRR6750057	fresh	first	2	0.934924383372624	0.9999216626898	30509437	12031154
999	SRR6750057	fresh	first	3	0.929015252521495	0.999922054564838	14956331	14227919
999	SRR6750057	fresh	second	1	0.80172661569999	0.999534161862447	57429318	31301476
999	SRR6750057	fresh	second	2	0.922257101340062	0.999774323173421	30610067	14342151
999	SRR6750057	fresh	second	3	0.92472782053346	0.999891887858562	14981831	15080278
95	SRR6750058	frozen	first	1	0.932293154320243	0.999747877922561	77430663	9725864
95	SRR6750058	frozen	first	2	0.936273875761897	0.999868126697526	44470130	11255990
95	SRR6750058	frozen	first	3	0.950095361099262	0.999881744005165	23814939	9842993
95	SRR6750058	frozen	second	1	0.927821632788856	0.998731708227276	77488770	10230346
95	SRR6750058	frozen	second	2	0.934256832331471	0.999478555350024	44472346	11550055
95	SRR6750058	frozen	second	3	0.9494719748318	0.999744009447364	23816710	9939894
99	SRR6750058	frozen	first	1	0.929442318023016	0.999865473910401	77430663	10152669
99	SRR6750058	frozen	first	2	0.934430906220932	0.99989658338876	44470130	11594231
99	SRR6750058	frozen	first	3	0.948773852335449	0.99990095642892	23814939	10110678
99	SRR6750058	frozen	second	1	0.909375364153864	0.999155382426081	77491074	12947053
99	SRR6750058	frozen	second	2	0.9274205779618	0.99956390085245	44472347	12779599
99	SRR6750058	frozen	second	3	0.947518514811503	0.999784141722343	23816708	10334598
999	SRR6750058	frozen	first	1	0.90825140399235	0.999920749660408	77430663	13214930
999	SRR6750058	frozen	first	2	0.922182616719014	0.999921552837786	44470130	13769230
999	SRR6750058	frozen	first	3	0.939370806072907	0.999922031542892	23814939	11975694
999	SRR6750058	frozen	second	1	0.682086403757484	0.999364906231096	77495915	45743167
999	SRR6750058	frozen	second	2	0.912132418939875	0.999604443532592	44472347	15496858
999	SRR6750058	frozen	second	3	0.93911447513832	0.999807878031107	23816707	12004387
95	SRR6750059	frozen	first	1	0.923514947349168	0.999749773843956	84446576	12004030
95	SRR6750059	frozen	first	2	0.932928341508628	0.999868258204947	46430581	13075475
95	SRR6750059	frozen	first	3	0.950886119600934	0.999881600203648	26943450	10527799
95	SRR6750059	frozen	second	1	0.918873882174092	0.99877216877051	84535320	12586098
95	SRR6750059	frozen	second	2	0.931788511005653	0.999521593312401	46651807	13221798
95	SRR6750059	frozen	second	3	0.950142669675219	0.999748173163111	26979986	10657162
99	SRR6750059	frozen	first	1	0.920634421860892	0.99986752450873	84446576	12474673
99	SRR6750059	frozen	first	2	0.931101991406416	0.999897278362149	46430581	13445046
99	SRR6750059	frozen	first	3	0.949635655530318	0.999900934572337	26943450	10803156
99	SRR6750059	frozen	second	1	0.903021348462987	0.999146927332043	84538034	15136386
99	SRR6750059	frozen	second	2	0.926336179700412	0.99960257711799	46651808	14305193
99	SRR6750059	frozen	second	3	0.947619418337662	0.999791298769781	26980104	11210237
999	SRR6750059	frozen	first	1	0.900632283073561	0.999920887888008	84446576	15631431
999	SRR6750059	frozen	first	2	0.919459402916867	0.999921633192071	46430581	15726576
999	SRR6750059	frozen	first	3	0.940706337414659	0.999922083247488	26943450	12727904
999	SRR6750059	frozen	second	1	0.656738697932639	0.999435311441918	84544837	53944718
999	SRR6750059	frozen	second	2	0.883940607743428	0.999678977122934	46651820	22599569
999	SRR6750059	frozen	second	3	0.932146698264852	0.999825513406045	26980117	14543822
